Date,Shrub,Subspecies,Ploidy,Sub.Cyto,Population,E,A,R,A.R,gsw,PhiPS2,Fv.Fm,WUE,WUEi,RWC,SLA,Kbm,Kbms,Kbml,Ypd,Ymd,Max.Height,LA.SA,long,lat,elev,mat,map,gsp,mtcm,mmin,mtwm,mmax,sday,fday,ffp,dd5,gsdd5,d100,dd0,mmindd0,smrpb,smrsprpb,sprp,smrp,winp,Distance
7.11.19,151,T,2,T2,ORT3,2.105588096,9.966462259,5.314802549,1.875227192,0.056822218,0.24907345,0.827825994,4.733339004,175.3972768,0.564723505,106.1792453,243.5758929,573.8877664,0.13785841,-1.578,-2.613,133,41.62878173,-119.3665,42.3263,1782,6.4,308,139,-2.8,-8.6,17.3,27.4,171,246,71,1512,858,128,436,1486,0.51,0.45,62,28,115,2002.6485
7.11.19,152,T,4,T4,NM'T1,0.791123209,3.55946405,5.144676013,0.691873315,0.02067717,0.28998088,0.828988997,4.499253733,172.1446395,0.618203716,167,92.10547909,58.28805829,0.005861996,-2.007,-2.691,141,99.43380554,-107.2257,35.9802,2122,8.4,274,170,-3.8,-11.6,20.9,30.1,150,268,119,2171,1602,110,422,1576,2.86,3.32,28,93,60,1561.848
7.11.19,153,T,2,T2,UTT3,0.666446124,2.231213614,4.854228257,0.459643324,0.016484528,0.237566906,0.830297756,3.347927963,135.3519888,0.426095568,103,40.84301343,28.86811908,0.032682683,-1.618,-2.776,72,8.832848657,-112.2642,37.0402,1618,11.6,291,137,0.1,-7.2,24.1,33.6,129,285,156,2892,2329,89,155,948,2.11,1.97,35,69,107,781.1353
7.11.19,158,T,4,T4,WA'T2,,1.090569027,4.568507705,0.238714499,,0.091073118,0.824430694,,,0.643102265,75.70588235,224.5857054,824.2161207,0.159230503,-1.594,-2.707,122,51.76245161,-119.2371,46.9488,312,10.3,195,67,-1.8,-5.8,21.9,30.9,122,281,160,2566,2136,91,261,754,0.6,0.53,30,16,97,704.8941
7.11.19,159,T,4,T4,AZ'T1,1.677637911,3.134290414,4.439091581,0.706065725,0.038069762,0.188406567,0.817432284,1.868275862,82.3301814,0.511771995,111.5542169,103.0400232,162.8102305,0.061417035,-1.423,-2.411,89,26.50896948,-111.7729,35.9174,1898,10.2,288,154,-0.7,-8,22.1,31.4,139,279,138,2507,1947,96,219,1151,3.16,2.93,30,88,84,1020.5019
7.11.19,161,T,2,T2,UTT2,1.586798028,5.228191249,5.125207283,1.02009362,0.039010882,0.331328496,0.829365639,3.29480574,134.0187918,0.58490566,84.73529412,85.50032636,3053.540798,0.142561179,-1.983,-2.862,123,214.1916061,-109.3876,38.306,1820,9.8,305,163,-4.8,-10.5,24.4,33,128,282,154,2671,2280,107,441,1196,1.63,1.52,46,70,80,975.7172
7.11.19,162,T,2,T2,ORT2,0.17084359,0.561329255,4.836369573,0.116064177,0.003330148,0.204833264,0.819862729,3.285632522,168.5598304,0.5463803,129.7234043,117.1048452,291.3846566,0.054313063,-1.708,-2.898,132,53.64909308,-119.2076,45.7589,223,11.5,239,80,1,-3,22.8,31.6,109,289,176,2795,2377,76,118,483,0.57,0.45,38,17,121,938.0565
7.11.19,164,T,4,T4,NM'T2,,3.021092716,5.560990017,0.543265265,,0.196654413,0.82974393,,,0.55,109.1643836,7.839152804,403.0814261,0.068363375,-4.321,,131,58.96160424,-107.1478,35.7572,1979,9.9,265,170,-2.3,-9.8,22.2,31.2,140,277,136,2516,1943,98,290,1270,2.86,3.32,28,93,54,1142.3759
7.25.19,169,T,4,T4,WA'T2,1.241659603,2.42865561,5.225360279,0.464782423,0.02726739,0.130964067,0.822801368,1.955975377,89.0681378,0.5523645,114.8479532,45.04352023,20.39071104,0.023762898,-2.23,-3.14,148,8.580902527,-119.2371,46.9488,312,10.3,195,67,-1.8,-5.8,21.9,30.9,122,281,160,2566,2136,91,261,754,0.6,0.53,30,16,97,704.8941
7.25.19,170,T,2,T2,CAT2,2.897493338,8.535015803,7.329143063,1.164531205,0.067272042,0.30294364,0.826385577,2.945655023,126.8731490,0.547826087,93.7202381,5.804272718,3.550294296,0.005616279,-1.81,-2.94,125,6.321434683,-118.5704,37.7973,1974,8.9,250,89,-1.2,-8.5,20.5,29.6,152,269,123,2134,1553,105,253,1199,1.17,1.07,30,32,125,1314.8804
7.25.19,173,T,2,T2,UTT1,1.527306159,4.468345864,,,0.032085076,0.309058988,0.828046045,2.925638607,139.2655530,0.540997706,93.12173913,18.11679054,151.2898311,0.020774093,-2.47,-3.64,152,72.82620279,-112.5087,37.9933,2106,7,351,189,-3.9,-11.7,19.4,29.1,162,258,96,1804,1197,123,493,1801,1.55,1.46,57,83,100,1971.199
7.25.19,178,T,2,T2,IDT1,1.130106884,4.486682124,6.330213983,0.708772584,0.024011437,0.245468666,0.798586138,3.97013963,186.8560411,0.49328215,99.20967742,22.02688852,133.6151923,0.028197183,-2.68,-3.58,109,47.38600822,-115.6569,43.0962,949,10.2,281,102,-1.9,-6.8,23.1,33.3,130,274,144,2571,2069,96,278,941,0.57,0.48,42,20,136,137.9272
7.25.19,184,T,2,T2,UTT3,1.421825327,5.222447311,,,0.03317224,0.234343205,0.787618556,3.673058294,157.4342693,0.674006445,127.4848485,24.03802426,222.7552873,0.019507928,-2.58,-3.91,116,114.1870549,-112.2642,37.0402,1618,11.6,291,137,0.1,-7.2,24.1,33.6,129,285,156,2892,2329,89,155,948,2.11,1.97,35,69,107,781.1353
7.25.19,187,T,2,T2,ORT1,1.912260004,7.965489171,,,0.047982978,0.28232677,0.824744138,4.165484378,166.0065620,0.525734133,128.2027972,205.5547507,135.8011218,0.112660741,-2.48,-3.59,128,12.05398801,-117.1854,42.9745,1349,8,331,138,-2.9,-8.9,20.2,31,163,255,91,1977,1235,111,369,1369,0.5,0.46,61,28,136,1286.2478
7.25.19,190,T,4,T4,NM'T1,1.428283216,5.935432639,6.570206053,0.903386072,0.031793912,0.238762048,0.820779506,4.155641242,186.6845664,0.547953391,129.8467153,82.27113386,57.47743141,0.020001758,-2.69,-3.47,133,28.73618946,-107.2257,35.9802,2122,8.4,274,170,-3.8,-11.6,20.9,30.1,150,268,119,2171,1602,110,422,1576,2.86,3.32,28,93,60,1561.848
7.25.19,194,T,2,T2,UTT1,0.525766637,1.725767199,5.547041121,0.31111491,0.011496661,0.2537373,0.834946065,3.282382482,150.1102983,0.577843055,82.1754386,37.94078748,225.342574,0.020179489,-1.72,-3.7,84,111.6691157,-112.5087,37.9933,2106,7,351,189,-3.9,-11.7,19.4,29.1,162,258,96,1804,1197,123,493,1801,1.55,1.46,57,83,100,1971.199
7.25.19,195,T,2,T2,WAT1,0.500436606,2.716244712,5.830775436,0.465846223,0.011414308,0.259410555,0.828910924,5.427749846,237.9684005,0.53544694,80.21929825,31.36701627,179.0049786,0.023909249,-1.94,-2.95,127,74.86850641,-118.2278,46.7419,329,11.2,287,93,-0.1,-3.6,22.8,31.8,118,288,169,2741,2309,82,164,532,0.55,0.43,44,19,144,784.8387
7.25.19,197,T,2,T2,WAT1,0.863237326,4.491823361,5.418905016,0.828917161,0.020446836,0.202835638,0.823024469,5.203462854,219.6830518,0.504464286,102.5337423,26.24614261,33.29296102,0.043511045,-2.29,-2.81,147,7.651611376,-118.2278,46.7419,329,11.2,287,93,-0.1,-3.6,22.8,31.8,118,288,169,2741,2309,82,164,532,0.55,0.43,44,19,144,784.8387
7.25.19,198,T,2,T2,ORT1,2.20526639,11.46860765,6.0254649,1.903356479,0.054858865,0.350174277,0.830139748,5.20055432,209.0565969,0.476366074,70.30232558,36.37978556,494.2964411,0.073973561,-2.04,-3.63,123,66.82069022,-117.1854,42.9745,1349,8,331,138,-2.9,-8.9,20.2,31,163,255,91,1977,1235,111,369,1369,0.5,0.46,61,28,136,1286.2478
7.25.19,199,T,2,T2,IDT3,1.541097947,8.808713378,6.130175191,1.436943171,0.036977854,0.253435107,0.826080097,5.715868608,238.2159181,0.716740304,123.2109375,17.46458307,38.82798629,0.025926606,-2.1,-2.45,106,14.97611626,-116.9641,43.3366,1358,7.7,362,149,-3.1,-8.2,19.8,29.7,157,258,102,1916,1294,114,398,1249,0.48,0.43,68,29,151,1234.6707
7.25.19,200,T,2,T2,COT1,1.621960328,8.52217768,5.481060225,1.554841095,0.03895421,0.251105042,0.82870741,5.254245455,218.7742374,,86.15,27.0734975,218.3857313,0.011404052,-2.36,-3.89,101,191.4983617,-107.81,39.6127,1790,7.4,399,199,-6.1,-14,20.6,30.9,155,260,105,2031,1414,117,590,1812,1.05,0.96,69,66,127,1624.8098
